region,store_id,category,product,week,units_sold,revenue,revenue_last_year
North,132,Electronics,Charger,30,31,1001.3,1009.67
East,100,Home,Mug,15,29,1251.93,1226.4
West,115,Electronics,Speaker,22,150,4899.0,5602.38
Central,119,Electronics,Earbuds,18,120,11311.2,11711.67
North,124,Apparel,T-Shirt,30,58,4285.62,3525.49
West,135,Electronics,Charger,25,40,3878.4,2998.87
West,105,Home,Lamp,20,118,12412.42,14711.32
North,105,Apparel,Jeans,12,94,521.7,515.04
East,122,Home,Towel,34,94,11083.54,9071.42
Central,131,Electronics,Earbuds,8,95,3646.1,3933.21
West,122,Apparel,Socks,22,154,11657.8,12757.68
North,139,Home,Lamp,46,94,9587.06,9167.4
East,108,Electronics,Earbuds,22,172,17574.96,16468.35
North,123,Home,Mug,15,102,552.84,773.38
Central,128,Apparel,Socks,24,103,3575.13,2933.81
West,110,Electronics,Webcam,24,187,2187.9,2108.37
West,102,Home,Cushion,32,139,8245.48,6911.92
North,111,Apparel,Jacket,45,47,1633.25,1880.19
Central,110,Apparel,Jacket,43,130,13651.3,12331.06
South,130,Electronics,Earbuds,47,157,2794.6,2491.7
South,134,Home,Lamp,40,199,22512.87,28893.83
West,120,Electronics,Speaker,37,32,2931.52,2799.05
Central,110,Home,Towel,4,167,18800.86,14223.83
North,137,Electronics,Charger,45,131,11623.63,10313.67
South,133,Apparel,Jeans,2,4,304.56,262.18
West,134,Apparel,Jeans,16,46,1304.1,1733.14
Central,101,Home,Cushion,9,86,4115.96,5501.87
Central,107,Apparel,T-Shirt,4,40,3425.6,4008.32
North,113,Home,Lamp,29,154,14864.08,13327.95
North,118,Apparel,T-Shirt,15,78,1210.56,1631.29
West,139,Electronics,Earbuds,39,36,1760.76,1901.56
West,112,Home,Mug,15,71,2565.94,3509.03
South,108,Electronics,Earbuds,45,78,3942.9,3378.49
West,123,Apparel,Socks,30,130,5851.3,6081.27
East,125,Electronics,Charger,14,40,1798.0,2180.14
West,110,Electronics,Speaker,34,195,4430.4,5949.94
Central,113,Home,Towel,51,50,4008.5,3503.89
North,116,Electronics,Charger,18,89,6950.9,7212.81
Central,137,Home,Mug,14,80,4424.0,3102.69
East,108,Home,Lamp,36,141,10457.97,11903.52
South,118,Apparel,Jacket,44,24,2290.32,2690.46
West,127,Home,Towel,13,25,574.0,471.03
East,114,Apparel,Jacket,42,111,5507.82,4429.6
Central,112,Apparel,Jacket,11,121,8764.03,7319.61
Central,131,Electronics,Speaker,7,4,470.96,616.93
North,136,Home,Towel,7,137,7543.22,9768.53
Central,114,Home,Lamp,37,44,3500.2,3360.73
North,110,Home,Towel,45,78,1765.92,1916.87
North,103,Electronics,Webcam,37,12,332.4,280.57
East,105,Home,Lamp,17,125,3246.25,2272.79
South,123,Home,Towel,16,185,9723.6,11941.06
North,121,Apparel,T-Shirt,48,27,1539.27,1605.79
South,113,Apparel,T-Shirt,23,9,369.36,358.93
Central,125,Electronics,Speaker,15,79,4191.74,4749.69
West,127,Electronics,Earbuds,38,196,12945.8,15927.61
South,126,Home,Lamp,27,54,4374.54,4776.11
Central,115,Home,Towel,36,130,13577.2,10262.96
West,100,Home,Cushion,1,66,5089.26,5814.12
West,108,Apparel,Socks,20,111,9652.56,11677.91
South,125,Apparel,Socks,43,0,0.0,0.0
East,133,Home,Towel,39,59,2579.48,2037.06
North,118,Electronics,Speaker,3,75,3012.0,3259.25
North,105,Apparel,Jacket,47,164,2105.76,2854.12
East,111,Apparel,T-Shirt,40,101,7900.22,9622.41
North,133,Apparel,Jeans,30,76,4637.52,4687.38
West,114,Apparel,Jeans,25,51,2142.0,2468.39
West,133,Home,Mug,49,142,5262.52,4087.24
West,116,Apparel,T-Shirt,13,39,2170.74,2678.64
East,109,Home,Lamp,39,132,3260.4,2621.6
South,107,Home,Lamp,36,4,211.48,153.05
East,137,Home,Towel,29,181,16784.13,12951.22
West,119,Apparel,Jeans,33,183,18126.15,22973.6
South,130,Home,Cushion,6,4,32.48,34.19
North,105,Electronics,Speaker,36,49,3650.5,2735.45
West,128,Home,Lamp,17,150,4906.5,6318.15
Central,106,Apparel,T-Shirt,35,168,8727.6,9760.5
North,127,Apparel,Jeans,5,146,12374.96,13752.61
East,131,Electronics,Webcam,19,47,3339.82,2387.88
Central,120,Home,Towel,20,140,5124.0,5891.27
North,133,Apparel,Jeans,32,87,2724.84,2126.61
Central,118,Electronics,Earbuds,47,78,3743.22,3700.43
East,138,Electronics,Earbuds,39,61,7251.68,9864.39
Central,113,Home,Lamp,9,140,11127.2,14095.75
North,105,Electronics,Earbuds,17,180,4532.4,3994.76
South,125,Electronics,Charger,30,44,3830.64,2938.81
North,111,Electronics,Speaker,31,164,13069.16,15436.36
South,125,Apparel,T-Shirt,26,175,9425.5,9069.43
Central,118,Electronics,Webcam,26,168,11844.0,12563.98
West,109,Apparel,Socks,33,199,8722.17,9501.39
North,115,Apparel,T-Shirt,44,190,2612.5,2850.04
East,117,Apparel,Jacket,51,117,6980.22,6413.0
South,134,Home,Cushion,43,45,1106.1,894.8
Central,113,Electronics,Charger,31,86,8983.56,9587.53
Central,114,Apparel,Jacket,52,84,9793.56,8834.0
East,113,Apparel,Jeans,26,3,342.45,292.43
North,128,Home,Towel,41,96,9161.28,7015.22
West,116,Apparel,Socks,16,6,439.56,449.85
Central,132,Home,Mug,6,63,3563.91,3025.95
East,136,Apparel,T-Shirt,3,31,2880.83,3208.14
Central,131,Electronics,Speaker,36,37,3643.76,2944.4
West,117,Electronics,Earbuds,23,102,2395.98,1828.11
East,138,Electronics,Charger,28,49,4823.07,5289.6
North,132,Home,Cushion,24,129,2159.46,2015.42
East,117,Electronics,Webcam,28,199,12982.76,13172.73
Central,120,Home,Towel,8,176,13421.76,16995.7
South,113,Apparel,Socks,9,53,3270.1,3054.39
West,130,Home,Cushion,51,11,854.15,701.6
South,128,Apparel,T-Shirt,5,17,969.68,690.88
West,132,Home,Towel,6,105,3326.4,2650.43
Central,126,Apparel,T-Shirt,16,86,3445.16,3596.88
North,132,Home,Mug,1,82,761.78,953.38
South,114,Home,Mug,22,3,24.27,31.3
West,131,Home,Mug,24,25,1809.5,2001.82
West,140,Apparel,T-Shirt,17,104,7943.52,5924.56
Central,124,Electronics,Earbuds,7,125,2033.75,2361.22
West,132,Home,Towel,39,6,109.92,123.04
North,138,Home,Lamp,27,170,12506.9,14606.39
West,115,Apparel,T-Shirt,23,147,8655.36,6685.83
Central,139,Electronics,Speaker,4,84,3385.2,2926.16
West,136,Electronics,Charger,52,168,1402.8,1433.64
Central,109,Electronics,Earbuds,40,187,11214.39,12829.01
North,118,Electronics,Earbuds,43,3,66.0,78.99
North,115,Electronics,Webcam,2,165,3950.1,3490.98
West,114,Electronics,Webcam,48,180,15762.6,21841.31
Central,137,Home,Cushion,10,199,19744.78,15217.16
Central,124,Home,Towel,23,39,3798.21,3123.97
East,123,Electronics,Earbuds,2,135,4877.55,5097.72
South,100,Apparel,Jeans,26,140,11673.2,14275.64
East,104,Home,Cushion,10,97,1977.83,1804.82
North,137,Electronics,Webcam,8,117,7410.78,5930.22
South,109,Apparel,Jeans,52,78,2445.3,1713.42
North,111,Home,Lamp,50,112,8722.56,11188.92
South,111,Home,Cushion,21,180,15048.0,17742.43
Central,128,Electronics,Speaker,18,64,4771.84,3953.09
East,109,Electronics,Charger,16,177,15076.86,17658.57
South,119,Apparel,Jeans,50,1,40.23,30.93
West,134,Home,Lamp,11,113,1949.25,1840.68
South,113,Apparel,Jacket,5,192,1107.84,1480.32
North,108,Home,Mug,16,116,9431.96,12370.06
West,107,Home,Mug,2,101,4462.18,3879.59
East,129,Home,Mug,35,92,7859.56,6201.62
North,118,Home,Mug,27,72,2777.76,2172.43
East,128,Home,Mug,19,48,5009.28,5745.35
East,124,Home,Towel,40,22,2486.66,2523.35
West,127,Electronics,Charger,17,126,4377.24,3380.03
South,132,Electronics,Earbuds,28,48,5708.16,5918.39
East,124,Home,Mug,42,31,2141.17,2583.05
West,109,Apparel,Jeans,20,105,6743.1,6078.48
West,118,Home,Towel,50,150,8995.5,12369.4
South,116,Apparel,Jacket,41,128,13483.52,13339.81
East,134,Apparel,T-Shirt,32,95,10048.15,13181.09
North,129,Home,Mug,27,186,5135.46,6470.94
North,105,Electronics,Webcam,41,56,2277.52,1917.56
Central,129,Home,Cushion,41,110,5174.4,4011.21
East,133,Apparel,Jeans,8,149,13584.33,16736.77
East,136,Home,Mug,27,161,3984.75,5408.89
Central,134,Electronics,Charger,28,84,2835.0,2610.43
West,102,Home,Towel,32,144,9182.88,10680.48
North,122,Apparel,Jacket,20,200,2810.0,2390.91
East,128,Home,Towel,35,104,6893.12,5030.52
South,113,Apparel,Jeans,45,23,1121.02,1505.91
East,123,Electronics,Webcam,5,36,2470.68,2861.13
North,102,Apparel,Socks,6,124,5253.88,6845.06
East,123,Home,Mug,29,59,2106.3,2164.04
West,122,Apparel,Jacket,49,34,2499.68,2894.2
Central,104,Home,Mug,13,77,9007.46,10543.45
South,140,Electronics,Earbuds,52,25,1720.5,1666.66
East,100,Electronics,Charger,1,113,9539.46,9555.57
East,119,Electronics,Speaker,32,59,4180.74,3571.6
East,135,Apparel,Socks,49,122,8649.8,10992.19
North,100,Home,Mug,37,192,1618.56,1750.78
East,131,Home,Mug,14,111,10563.87,11464.24
West,102,Apparel,Socks,31,197,21120.37,19606.66
East,118,Apparel,T-Shirt,43,176,16346.88,18725.54
Central,113,Home,Towel,19,136,8370.8,6936.63
East,125,Apparel,Socks,22,5,80.15,75.66
South,136,Electronics,Webcam,10,44,2314.4,2082.46
Central,109,Home,Cushion,7,77,2614.15,2772.29
West,118,Home,Lamp,49,191,15860.64,21324.15
East,100,Home,Cushion,15,84,2635.92,3283.35
East,121,Home,Mug,2,186,18806.46,17231.81
Central,117,Apparel,T-Shirt,9,54,2538.54,2910.57
North,132,Home,Cushion,12,109,3679.84,4065.6
West,119,Home,Towel,24,134,8641.66,11015.92
East,126,Apparel,T-Shirt,40,67,4663.2,4816.57
South,115,Home,Cushion,17,155,13069.6,11303.45
South,102,Apparel,Socks,13,179,11670.8,9237.67
West,122,Electronics,Speaker,32,95,7743.45,6462.9
South,127,Electronics,Speaker,34,121,3216.18,3852.1
North,117,Apparel,T-Shirt,23,30,1824.6,1932.59
North,133,Apparel,Jacket,40,38,3952.76,3117.14
Central,121,Apparel,Socks,31,20,2244.0,2101.63
South,122,Home,Mug,2,125,13433.75,11287.06
Central,107,Electronics,Earbuds,45,117,11001.51,13471.91
North,121,Electronics,Charger,10,26,699.4,763.11
East,123,Electronics,Speaker,44,20,1044.4,1279.94
East,140,Apparel,T-Shirt,25,118,6989.14,8866.75
Central,101,Home,Lamp,13,125,3177.5,2678.55
Central,127,Home,Cushion,13,186,21181.68,29012.72
Central,102,Apparel,Jeans,39,32,218.24,293.91
Central,116,Home,Towel,18,7,365.47,400.52
North,117,Electronics,Earbuds,9,118,14089.2,17158.36
South,109,Apparel,Socks,2,162,13194.9,14621.49
West,126,Apparel,Jacket,24,0,0.0,0.0
North,131,Electronics,Earbuds,38,187,19706.06,19383.69
West,131,Apparel,Jacket,12,37,3493.54,3433.36
Central,126,Apparel,Jacket,18,68,1005.04,784.62
East,136,Electronics,Speaker,7,130,8646.3,7160.78
South,108,Electronics,Earbuds,2,23,983.94,904.46
North,126,Apparel,Jeans,12,8,125.2,129.49
South,126,Electronics,Speaker,20,192,17059.2,14402.09
Central,129,Electronics,Earbuds,50,120,2914.8,2742.42
East,107,Apparel,Socks,47,53,2952.1,2308.88
East,133,Electronics,Webcam,50,132,9444.6,7591.84
North,117,Electronics,Speaker,38,1,61.8,76.0
North,108,Electronics,Charger,22,109,8420.25,6288.73
Central,133,Apparel,Socks,24,132,6597.36,6589.38
East,138,Home,Cushion,6,112,778.4,938.01
West,128,Home,Mug,12,151,2837.29,2059.4
North,109,Electronics,Charger,4,181,6856.28,7032.19
North,115,Home,Cushion,43,61,3450.16,4408.9
West,124,Home,Towel,8,59,1558.19,1971.95
North,122,Home,Cushion,38,180,15703.2,16040.22
North,127,Apparel,Jacket,47,55,708.95,897.72
Central,130,Electronics,Speaker,51,195,14802.45,11394.62
North,126,Electronics,Charger,27,63,3962.07,4765.08
Central,114,Apparel,Jeans,29,87,2610.0,3459.19
West,139,Apparel,Jeans,12,186,16332.66,15213.07
North,120,Electronics,Webcam,39,4,70.96,70.06
South,140,Electronics,Charger,33,87,8869.65,8989.88
Central,113,Home,Cushion,11,78,5196.36,4178.85
East,116,Electronics,Earbuds,38,175,6422.5,8012.78
East,116,Apparel,Jacket,45,112,3299.52,3714.29
South,128,Electronics,Charger,9,54,4773.6,3921.04
West,130,Home,Lamp,26,39,3667.17,4885.51
East,111,Home,Mug,34,85,7090.7,6856.2
South,108,Home,Lamp,24,178,17654.04,18695.43
South,108,Electronics,Charger,12,164,7161.88,8429.94
East,100,Electronics,Earbuds,44,181,16465.57,13674.94
North,113,Home,Lamp,7,75,5118.75,4754.1
East,117,Apparel,Socks,51,88,7292.56,8662.37
Central,107,Apparel,T-Shirt,37,11,83.93,92.02
North,140,Electronics,Earbuds,38,110,2987.6,3113.55
East,129,Electronics,Earbuds,3,78,2687.1,3475.42
West,122,Apparel,Jeans,51,141,5521.56,4254.6
Central,120,Apparel,Socks,19,70,2543.1,1934.59
North,139,Apparel,T-Shirt,25,89,6324.34,7323.54
East,115,Home,Cushion,41,42,4390.68,6026.17
Central,118,Electronics,Earbuds,12,147,15512.91,12062.66
North,115,Apparel,Jacket,24,131,8399.72,6678.43
West,137,Electronics,Webcam,30,42,412.44,528.58
East,109,Apparel,T-Shirt,2,154,1832.6,1518.39
East,106,Home,Lamp,33,175,4053.0,5367.73
South,134,Electronics,Speaker,43,75,3128.25,2482.75
West,125,Apparel,Jacket,12,32,1275.2,1013.61
Central,115,Home,Cushion,26,94,9119.88,6944.68
Central,129,Home,Cushion,48,24,2232.24,2399.71
Central,107,Electronics,Speaker,37,65,4880.85,3935.75
East,126,Home,Cushion,2,137,2227.62,1840.18
East,120,Home,Mug,4,37,3368.85,3003.03
East,122,Apparel,Jeans,22,166,3763.22,4825.64
North,121,Home,Towel,20,82,7095.46,5469.86
North,122,Home,Cushion,46,177,11685.54,13772.73
Central,135,Home,Cushion,38,92,5214.56,4153.82
East,140,Apparel,Jeans,6,177,4856.88,6677.97
North,133,Apparel,T-Shirt,19,141,15573.45,12870.12
Central,105,Electronics,Earbuds,9,63,1060.29,845.19
West,139,Electronics,Speaker,52,177,909.78,788.53
North,115,Apparel,Socks,49,199,22240.24,21443.82
South,133,Apparel,Jacket,49,191,13610.66,18754.04
North,114,Home,Lamp,44,80,3198.4,3877.35
North,123,Home,Towel,28,32,2679.36,2720.76
Central,133,Electronics,Charger,22,166,967.78,1285.29
West,135,Electronics,Webcam,36,38,229.14,237.08
East,136,Home,Mug,2,166,10248.84,13743.3
North,105,Home,Towel,37,102,4286.04,3783.61
North,128,Home,Towel,35,143,16037.45,17738.01
Central,134,Electronics,Earbuds,23,124,14530.32,19896.39
South,127,Electronics,Webcam,5,105,2018.1,1900.85
Central,127,Apparel,Jacket,43,53,6108.25,5223.42
East,101,Apparel,Socks,26,70,2655.8,1887.31
East,135,Home,Mug,25,152,13477.84,16608.9
South,130,Electronics,Charger,30,118,12218.9,11985.2
West,139,Apparel,Jeans,21,47,3674.46,3875.96
West,111,Apparel,T-Shirt,15,69,3274.74,3693.3
North,121,Electronics,Charger,1,148,6753.24,6378.28
North,121,Electronics,Charger,22,183,7843.38,7166.8
North,137,Apparel,Jacket,5,118,7957.92,9653.99
Central,106,Apparel,Socks,1,95,2831.0,2792.44
East,116,Home,Lamp,35,6,81.78,87.78
Central,123,Electronics,Webcam,5,147,10129.77,12124.79
Central,116,Home,Mug,49,4,179.28,128.57
East,101,Home,Lamp,24,12,862.92,746.97
Central,129,Electronics,Webcam,7,152,16843.12,12633.22
East,122,Electronics,Webcam,7,36,4146.48,5056.6
West,115,Home,Towel,12,183,12121.92,10818.09
East,130,Electronics,Earbuds,43,199,20286.06,20006.81
Central,112,Electronics,Earbuds,6,6,404.4,525.7
South,128,Apparel,T-Shirt,22,47,2441.65,3156.26
West,112,Home,Lamp,1,174,2717.88,3259.4
South,116,Apparel,Jacket,29,151,15717.59,20701.93
North,101,Apparel,Jacket,39,93,3887.4,2885.16
South,115,Home,Lamp,38,27,3180.06,2692.06
South,106,Apparel,Jeans,15,57,932.52,1034.44
East,127,Apparel,Jeans,21,121,13608.87,17101.68
South,120,Home,Towel,25,114,2986.8,2303.05
North,128,Electronics,Speaker,36,126,2153.34,2632.17
East,108,Electronics,Speaker,6,156,12909.0,12761.55
West,108,Home,Towel,40,108,6701.4,9052.2
Central,106,Home,Lamp,39,142,3318.54,3188.2
South,115,Electronics,Charger,29,176,17424.0,22666.43
West,127,Electronics,Earbuds,35,166,15872.92,12700.59
East,121,Apparel,Socks,5,18,723.78,748.06
West,140,Electronics,Webcam,43,119,615.23,461.38
Central,127,Apparel,T-Shirt,13,6,709.14,962.8
South,122,Apparel,Jacket,27,83,9577.37,9102.94
South,134,Electronics,Charger,17,51,4828.68,3393.67
East,132,Apparel,Socks,4,9,734.31,521.08
North,101,Electronics,Webcam,50,99,11583.99,14884.81
West,122,Electronics,Webcam,2,162,14516.82,17276.72
Central,102,Apparel,Jacket,11,172,14988.08,15364.06
East,134,Electronics,Charger,30,5,190.25,251.89
North,104,Apparel,T-Shirt,29,1,65.29,84.86
West,105,Electronics,Webcam,51,30,1077.6,1048.1
Central,115,Electronics,Earbuds,26,56,1055.04,978.51
Central,126,Apparel,T-Shirt,45,197,22889.43,25122.41
Central,140,Apparel,Jacket,41,2,28.88,35.39
South,120,Apparel,Socks,22,100,11868.0,8808.59
South,132,Home,Mug,32,50,4286.0,4560.69
East,126,Apparel,Socks,14,190,10792.0,14627.59
East,102,Apparel,Socks,22,188,9324.8,8026.27
West,104,Electronics,Charger,6,24,411.84,444.36
North,105,Home,Towel,47,177,13418.37,11327.04
South,139,Electronics,Webcam,34,58,4430.62,4406.61
East,122,Apparel,Socks,10,164,17131.44,19574.65
West,116,Apparel,Jacket,33,119,1404.2,1280.03
South,130,Electronics,Earbuds,20,147,11968.74,13236.47
East,100,Electronics,Earbuds,47,138,13265.94,10462.66
South,140,Apparel,Jeans,9,5,117.55,95.48
East,123,Electronics,Earbuds,25,52,3152.24,4003.65
South,120,Electronics,Speaker,9,106,3738.62,3472.17
North,132,Apparel,Jacket,20,188,13795.44,16055.5
South,105,Electronics,Speaker,31,117,9424.35,12090.07
South,107,Home,Towel,33,116,8066.64,6309.09
South,139,Home,Cushion,35,172,4613.04,5174.14
Central,104,Home,Mug,43,4,110.04,121.24
North,107,Home,Lamp,11,113,5064.66,4255.4
East,112,Home,Mug,17,103,7316.09,8569.7
East,124,Apparel,Socks,27,25,1346.0,1441.8
South,117,Apparel,Jacket,10,163,13222.56,10570.84
South,131,Electronics,Webcam,35,43,1237.54,1026.42
North,130,Home,Mug,23,177,18928.38,21943.6
South,104,Apparel,Jeans,38,135,951.75,1115.28
Central,138,Electronics,Charger,49,20,341.6,327.58
West,133,Electronics,Charger,22,95,10813.85,10564.26
Central,134,Home,Mug,45,41,3833.5,4128.93
North,119,Electronics,Webcam,49,52,1554.28,1706.52
South,127,Home,Towel,51,120,3651.6,4370.26
West,126,Home,Towel,46,68,6008.48,8368.4
East,131,Home,Mug,45,11,620.51,589.62
West,110,Apparel,T-Shirt,35,78,3069.3,3200.06
North,110,Apparel,Jeans,29,113,13174.67,13630.9
Central,121,Home,Lamp,25,158,3216.88,2293.27
North,123,Electronics,Earbuds,19,38,1727.1,1595.13
West,131,Electronics,Webcam,39,1,22.15,30.48
South,125,Home,Cushion,22,98,1962.94,2149.34
Central,133,Electronics,Charger,3,164,11998.24,15420.77
East,102,Apparel,Socks,47,36,2392.2,2649.31
East,123,Apparel,Jeans,27,164,10061.4,9690.48
East,112,Electronics,Earbuds,18,132,14229.6,12178.46
South,131,Home,Lamp,48,140,2560.6,2169.52
West,132,Apparel,Jeans,51,176,15304.96,19210.73
North,122,Apparel,Jeans,32,57,3376.68,4470.55
East,116,Home,Towel,10,127,2480.31,3177.87
South,136,Electronics,Webcam,32,154,3441.9,3566.53
North,106,Home,Towel,26,67,5902.7,7133.93
Central,139,Apparel,Socks,19,27,3096.63,3456.54
East,140,Apparel,T-Shirt,11,61,4825.71,5459.43
West,108,Electronics,Charger,31,2,42.4,50.99
East,119,Electronics,Earbuds,19,13,1444.04,2006.4
South,124,Apparel,Jeans,17,115,2640.4,3289.09
South,115,Apparel,Jeans,33,55,5896.55,5988.34
East,129,Apparel,Jeans,21,132,6409.92,5301.45
East,125,Apparel,Jacket,1,197,14828.19,11365.72
West,110,Apparel,Jeans,15,189,20016.99,17200.51
East,105,Apparel,T-Shirt,42,19,1782.77,2452.02
East,106,Electronics,Earbuds,46,178,1591.32,1688.53
Central,106,Electronics,Earbuds,31,148,13442.84,17279.12
East,105,Apparel,Jeans,8,102,1754.4,1292.41
Central,140,Home,Lamp,36,12,1396.92,1823.14
West,115,Apparel,Jeans,39,125,2326.25,1979.94
North,139,Apparel,Jacket,9,159,14842.65,17561.68
North,111,Apparel,T-Shirt,17,146,5165.48,6749.73
North,121,Apparel,Jeans,16,143,16853.98,21575.01
Central,112,Apparel,Jacket,40,107,10022.69,10644.64
North,114,Apparel,Jeans,12,167,1788.57,2179.07
East,124,Home,Lamp,35,102,4696.08,6455.58
South,104,Electronics,Charger,37,115,11888.7,11388.91
West,136,Home,Mug,25,154,12078.22,9986.51
East,137,Electronics,Charger,31,3,260.97,186.37
East,120,Electronics,Earbuds,35,153,9534.96,12450.71
North,118,Electronics,Speaker,8,65,1302.6,938.36
West,131,Apparel,Socks,16,91,3902.99,3105.12
East,115,Home,Lamp,20,18,1304.28,1481.24
East,121,Apparel,T-Shirt,40,113,3985.51,3621.49
East,114,Home,Mug,51,22,1832.16,2033.22
North,113,Apparel,Jeans,34,65,6741.15,6146.57
Central,131,Electronics,Speaker,32,141,12078.06,12014.01
Central,122,Apparel,T-Shirt,19,8,467.12,633.3
West,100,Home,Towel,21,90,10388.7,7900.21
Central,135,Apparel,T-Shirt,31,91,10157.42,12531.33
West,101,Apparel,Jeans,24,179,8736.99,6738.97
Central,102,Electronics,Charger,3,98,5581.1,7170.71
South,102,Electronics,Charger,23,31,2574.24,1962.57
South,105,Apparel,Jacket,18,118,13621.92,13464.67
South,111,Electronics,Speaker,38,180,8334.0,6525.71
Central,128,Electronics,Earbuds,7,155,11042.2,9133.92
South,129,Home,Cushion,46,11,1188.66,1539.18
South,106,Apparel,Socks,5,148,9981.12,13527.67
North,120,Home,Towel,46,44,4206.84,5400.86
South,131,Electronics,Webcam,35,83,2854.37,2595.8
West,136,Apparel,Socks,18,107,4314.24,4648.25
South,118,Apparel,Jacket,31,93,7502.31,5601.75
West,103,Home,Lamp,18,197,15407.37,11931.06
West,109,Apparel,Jeans,50,82,863.46,1029.57
West,130,Electronics,Charger,52,170,4916.4,5451.02
West,108,Apparel,Jeans,43,79,3054.14,2383.33
West,131,Electronics,Earbuds,9,98,11172.98,12951.64
East,124,Electronics,Speaker,3,65,7768.15,10374.54
East,110,Electronics,Speaker,32,61,2289.94,2892.9
South,138,Electronics,Speaker,48,167,5970.25,7665.62
South,116,Electronics,Earbuds,1,105,4985.4,5426.63
East,131,Electronics,Charger,28,139,8855.69,8984.11
East,104,Apparel,T-Shirt,44,37,2460.13,2578.57
South,103,Home,Lamp,22,5,564.05,750.94
East,138,Home,Cushion,33,51,867.0,824.94
Central,132,Apparel,Jeans,8,118,10936.24,10440.6
North,138,Home,Lamp,16,17,1417.46,1679.35
West,127,Apparel,Socks,20,155,7365.6,9215.74
Central,120,Home,Cushion,14,2,190.98,208.12
Central,104,Electronics,Webcam,32,19,506.73,610.16
West,100,Electronics,Earbuds,13,147,11471.88,8524.45
Central,133,Electronics,Earbuds,11,33,3048.21,4200.54
East,112,Apparel,Jacket,36,119,11876.2,15016.69
Central,111,Electronics,Speaker,22,17,721.14,938.34
East,130,Apparel,Socks,35,15,165.75,169.74
North,137,Electronics,Webcam,12,91,10840.83,10361.23
Central,113,Apparel,Jeans,41,112,7605.92,9684.55
East,133,Electronics,Earbuds,45,122,14635.12,12353.35
Central,105,Electronics,Earbuds,52,103,5633.07,4176.1
North,135,Apparel,Jacket,10,66,4143.48,3215.25
West,126,Home,Towel,21,103,10009.54,12987.1
Central,112,Apparel,T-Shirt,46,33,3129.06,4211.92
East,102,Apparel,Socks,23,173,17322.49,14326.35
West,113,Home,Lamp,21,137,9088.58,8149.31
West,126,Electronics,Speaker,41,181,7779.38,6663.74
Central,122,Electronics,Charger,46,157,12564.71,12569.17
East,107,Apparel,Jeans,31,37,1671.29,1886.96
East,114,Electronics,Speaker,15,62,6259.52,6411.21
Central,116,Electronics,Webcam,6,18,1488.6,1488.7
Central,128,Electronics,Charger,48,23,2359.8,2437.51
North,140,Home,Cushion,5,22,1121.12,833.84
East,123,Home,Cushion,33,64,473.6,617.62
Central,115,Apparel,Jeans,24,116,13179.92,16958.91
South,112,Apparel,T-Shirt,24,73,5534.86,6275.04
South,127,Home,Mug,38,37,3025.86,3162.92
North,117,Apparel,Socks,28,147,10575.18,13083.28
East,102,Electronics,Charger,5,53,5345.05,4324.94
North,105,Home,Cushion,10,124,13938.84,17158.22
South,124,Electronics,Speaker,12,131,5257.03,6633.03
South,140,Apparel,Socks,9,8,510.08,707.16
West,122,Electronics,Earbuds,8,131,7780.09,10568.16
Central,102,Home,Mug,27,177,11172.24,8159.42
Central,122,Electronics,Webcam,3,72,8142.48,10104.19
West,138,Electronics,Speaker,4,141,11523.93,12424.35
South,136,Apparel,Jacket,33,4,198.84,255.15
Central,107,Apparel,Socks,36,168,9263.52,7629.28
West,102,Home,Mug,14,121,1756.92,1379.92
Central,137,Apparel,Jeans,30,56,554.4,564.81
West,139,Home,Mug,6,182,9842.56,10851.57
North,125,Home,Towel,24,128,12787.2,15786.36
South,116,Electronics,Charger,32,15,1746.15,2383.4
Central,100,Home,Cushion,44,124,12594.68,15887.96
West,118,Home,Towel,51,110,8830.8,9517.04
North,100,Apparel,Socks,16,118,8802.8,9429.08
North,102,Apparel,Jacket,38,57,890.34,856.37
West,138,Electronics,Speaker,2,141,6543.81,7941.41
Central,126,Apparel,Jeans,30,47,2460.92,2911.28
West,140,Apparel,Jeans,49,23,1551.12,1469.54
Central,105,Apparel,Jeans,34,138,12658.74,15004.73
South,123,Electronics,Charger,48,119,11640.58,12059.22
South,113,Home,Towel,22,156,10004.28,12092.22
West,119,Home,Towel,32,100,656.0,642.5
West,130,Home,Towel,24,169,15406.04,19101.26
East,118,Apparel,Socks,51,139,5313.97,4337.24
North,113,Apparel,Jeans,23,39,4347.72,3318.46
North,117,Apparel,Jacket,33,82,2054.1,1878.4
Central,114,Home,Towel,39,28,503.16,535.35
Central,105,Electronics,Speaker,52,140,7870.8,8539.93
South,138,Electronics,Charger,34,46,2409.02,1829.99
South,104,Electronics,Webcam,34,106,992.16,1374.28
Central,101,Electronics,Earbuds,49,135,4985.55,5649.13
East,130,Home,Mug,5,135,11672.1,9411.34
South,100,Home,Towel,21,186,19094.76,26535.16
Central,102,Home,Cushion,52,33,927.63,672.03
South,112,Apparel,T-Shirt,49,67,389.27,306.26
East,105,Home,Cushion,33,120,2392.8,2417.98
West,132,Apparel,Jeans,5,43,2660.41,1983.13
Central,133,Apparel,Socks,11,43,1287.85,1012.73
South,121,Electronics,Webcam,40,6,253.86,314.11
East,105,Electronics,Charger,24,73,4626.74,5286.01
West,137,Apparel,Socks,47,149,5232.88,4486.88
South,140,Apparel,T-Shirt,35,68,5929.6,5516.14
